ID,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
44066,NCDFI spotlite,saurabhr,tejast,normal,major,have not tried,,Bug,2022-06-20,,,,public,2022-06-22,Yankee Reverse Auction :- Auction qty is getting displayed even if show auction qty flag is N .Market :- MCK2 CONTARCT - SRREV,closed,open,
43978,NCDFI spotlite,ravinar,tejast,high,major,always,,Bug,2022-06-17,,,,public,2022-06-17,Quick auction floor all screen - Data is not getting displayed in screen even though in pfm for market show on quick auction flo,assigned,open,
43977,NCDFI spotlite,ravinar,tejast,high,major,always,,Bug,2022-06-17,,,,public,2022-06-17,Market watch screen - After export of market watch screen auction qty getting displayed to bidder.,assigned,open,
43976,NCDFI spotlite,ravinar,tejast,high,major,always,,Bug,2022-06-17,,,,public,2022-06-17,After logout from ncdfi uat user redirected to elv sit pfm url.,assigned,open,
43269,NCDFI posttrade,saurabhr,,normal,major,have not tried,,Bug,2022-06-06,,,,public,2022-06-06,"For existing obligation, SD payin charge (6) is not calculated. Also, SD payout is not credited in the member's available margin",new,open,
43268,NCDFI posttrade,saurabhr,,normal,major,have not tried,,Bug,2022-06-06,,,,public,2022-06-06,"While performing release order trade details process, getting error 'lot process map updation failed '. Obligation No :- 1022401",new,open,
43267,NCDFI posttrade,saurabhr,,normal,major,have not tried,,Bug,2022-06-06,,,,public,2022-06-06,TDS charge is not getting debited. Obligation No :- 1000906062022114219,new,open,
43006,NCDFI posttrade,asham,sumitp,normal,major,always,,Bug,2022-05-31,,,,public,2022-05-31,"Observation--if the payout type is ""Margin"" then after funds withdrawal records goes in payment file screen, Previously if the p",assigned,open,
42999,NCDFI pfm,saurabhr,,normal,minor,have not tried,,Bug,2022-05-31,,,,public,2022-05-31,"""TM Market Mapping :- Export all data as csv is not working properly.. """,new,open,
42998,NCDFI pfm,saurabhr,,normal,minor,have not tried,,Bug,2022-05-31,,,,public,2022-05-31,"""View Contract Additional/Initial Margin :- Export all data as csv is not working properly.. """,new,open,
42975,NCDFI pfm,saurabhr,krishnas,normal,minor,have not tried,,Bug,2022-05-30,,,,public,2022-05-30,Commodity Master View :- Commodity unit UOM is displayed blank for newly created commodity. Commodity :- SRMOCK1,assigned,open,
42967,NCDFI pfm,saurabhr,krishnas,normal,major,have not tried,,Bug,2022-05-30,,,,public,2022-05-30,"Even though session is expired if status flag is T ,user is able to update end time of trading session.",assigned,open,
42849,NCDFI pfm,saurabhr,krishnas,normal,minor,have not tried,,Observation,2022-05-26,,,,public,2022-05-27,Edit Client :- If authorized signatory & registered office contact person name is not present then error message is not proper.,deployed_in_uat,open,
42863,NCDFI pfm,saurabhr,krishnas,normal,minor,have not tried,,Observation,2022-05-26,,,,public,2022-05-27,Observation :- TM Master View Export:- File name is displayed as WSP Master List .It should be TM Master list.,deployed_in_uat,open,
42877,NCDFI pfm,saurabhr,krishnas,normal,major,have not tried,,Bug,2022-05-26,,,,public,2022-05-27,"Org self reg approval :- Membership fee is not deposited ,still registration is getting approved.Member id :- 206119",feedback,open,
42878,NCDFI pfm,saurabhr,krishnas,normal,major,have not tried,,Bug,2022-05-26,,,,public,2022-05-27,"Org self reg approval :- Membership fee is not approved ,still registration is getting approved.Also,membership fee status is up",feedback,open,
42848,NCDFI pfm,saurabhr,krishnas,normal,major,have not tried,,Bug,2022-05-26,,,,public,2022-05-27,Org self registration approval :- View :- Designation is getting displayed as blank. Org Id :- 206112,feedback,open,
42870,NCDFI pfm,saurabhr,krishnas,normal,major,have not tried,,Bug,2022-05-26,,,,public,2022-05-27,Org self reg approval :- Membership fee status remains in 'Pending for Approval' even if membership fee is rejected.Member Id :-,deployed_in_uat,open,
42862,NCDFI pfm,saurabhr,krishnas,normal,minor,have not tried,,Bug,2022-05-26,,,,public,2022-05-27,CM master view :- Export all data as csv is not working properly..,deployed_in_uat,open,
42861,NCDFI pfm,saurabhr,krishnas,normal,minor,have not tried,,Bug,2022-05-26,,,,public,2022-05-27,View Commodity :- Export all data as csv is not working properly..,deployed_in_uat,open,
42917,NCDFI pfm,ravinar,krishnas,high,major,always,,Bug,2022-05-27,,,,public,2022-05-27,Contract Demand/Supply Ratio Screen - If user delete record from screen and try to add same record in demand supply ratio screen,assigned,open,
42857,NCDFI pfm,saurabhr,,normal,minor,have not tried,,Observation,2022-05-26,,,,public,2022-05-26,Org self reg approval export :- GST No is displayed as '2.78451E+14'.,new,open,
42844,NCDFI pfm,asham,ashwinir,high,major,always,,Bug,2022-05-25,,,,public,2022-05-26,"NCDFI PFm---In Edit CM Organization details it shows ""Error in CM updation"".",deployed_in_uat,open,
42847,NCDFI pfm,saurabhr,krishnas,normal,major,have not tried,,Bug,2022-05-25,,,,public,2022-05-26,"View CM :- While updating CM,getting error as' Error in Cm updation '. Org ID :-33127",deployed_in_uat,open,
42840,NCDFI pfm,saurabhr,saurabhd,normal,major,have not tried,,Bug,2022-05-25,,,,public,2022-05-25,View Commodity :- Data is not getting displayed.,resolved,open,
42473,NCDFI posttrade,ravinar,Sudheers,high,major,always,,Bug,2022-05-13,,,,public,2022-05-24,After SD block process member TOTAL MARGIN and TOTAL AVAILABLE MARGIN getting displayed in negative. OBLIGATION NO - 10001130520,deployed_in_uat,fixed,
42504,NCDFI pfm,saurabhr,saurabhd,normal,minor,have not tried,,Observation,2022-05-17,,,,public,2022-05-19,"For all the View Screens ,the label name is not shown properly.Labels are getting displayed with LB prefix..e.g.LB_UserName -",feedback,open,
42503,NCDFI pfm,saurabhr,saurabhd,normal,major,have not tried,,Bug,2022-05-16,,,,public,2022-05-19,"Organization & Self Registration :- Is Mock is selected as Yes ,still user is getting displayed in all view screen to admin use",feedback,open,
42550,NCDFI hostend,saurabhr,gaurava,high,major,have not tried,,Bug,2022-05-19,,,,public,2022-05-19,"Rank ME 11 :- Incorrect margin is getting blocked.For same member, Trade Margin is blocked as -1.Member Org Id :- 206039.",assigned,open,
39578,NCDFI pfm,shivdasc,,normal,minor,have not tried,,Observation,2022-02-22,,,,public,2022-05-18,View Organization : label name is not shown properly,deployed_in_uat,open,
39671,NCDFI pfm,shivdasc,,normal,minor,have not tried,,Observation,2022-02-25,,,,public,2022-05-18,View Client : Label is not in proper format.,deployed_in_uat,open,
42484,NCDFI pfm,saurabhr,saurabhd,normal,major,have not tried,,Bug,2022-05-16,,,,public,2022-05-18,"After organization registration, mail and SMS is not getting delivered to Relationship Manager. User :- U206090",deployed_in_uat,open,
42505,NCDFI pfm,saurabhr,saurabhd,normal,major,always,,Bug,2022-05-17,,,,public,2022-05-18,View Trading Session Master :- User is able to update session start time & session end time of deleted trading session.,deployed_in_uat,open,
42507,NCDFI pfm,saurabhr,saurabhd,normal,minor,always,,Bug,2022-05-17,,,,public,2022-05-18,"Trading Account Approval :- If bank details are not added ,then after clicking on approve button not getting any error message",deployed_in_uat,open,
42436,NCDFI posttrade,ravinar,Sudheers,high,major,always,,Bug,2022-05-12,,,,public,2022-05-17,Normal Settlement screen - In 'SD Block View' no records found getting displayed even if SD is blocked against member.,deployed_in_uat,fixed,
42496,NCDFI hostend,ravinar,gaurava,high,major,always,,Bug,2022-05-16,,,,public,2022-05-16,RANK ME 11 - If two members bids on same time then wrong soft block getting blocked. Also after trade that soft-block getting di,assigned,open,
38611,NCDFI pfm,saurabhr,saurabhd,normal,major,have not tried,,Bug,2022-01-20,,,,public,2022-05-13,"Load Bilateral Data :- While loading market ,contract & TAC ,getting error 'config url not found '.",resolved,open,
41568,NCDFI pfm,saurabhr,saurabhd,normal,minor,have not tried,,Observation,2022-04-11,,,,public,2022-05-13,Trading Session Insert :- Date format should be dd/mm/yyyy for session start & end date.,deployed_in_uat,open,
42284,NCDFI pfm,saurabhr,saurabhd,normal,major,always,,Bug,2022-05-06,,,,public,2022-05-13,"Admin login :- Organization Registration :- If 'Mock Organization' flag is selected as Yes then ,unable to add TM details for th",deployed_in_uat,open,
42293,NCDFI pfm,ravinar,saurabhd,high,major,always,,Bug,2022-05-06,,,,public,2022-05-13,View Trading session master screen - Session Start Date and Session End Date filter is not working.,deployed_in_uat,open,
42280,NCDFI pfm,ravinar,saurabhd,normal,minor,always,,Observation,2022-05-06,,,,public,2022-05-13,View trading session master screen - Save button is given in view trading session master screen so user is able to define new tr,deployed_in_uat,open,
42422,NCDFI pfm,saurabhr,,normal,major,have not tried,,Bug,2022-05-12,,,,public,2022-05-13,View Client :- Edit Client :- Margin payout type option is not getting displayed in the client payout type dropdown.,deployed_in_uat,open,
42456,NCDFI pfm,shivdasc,,normal,minor,have not tried,,Observation,2022-05-13,,,,public,2022-05-13,observation : Self Registration approval : as email id is made mandatory there should be mandatory mark on email id label,deployed_in_uat,open,
42426,NCDFI posttrade,ravinar,Sudheers,high,major,always,,Bug,2022-05-12,,,,public,2022-05-13,SD payout is getting displayed in available balance and cash margin limit also. Main payout - Margin,deployed_in_uat,fixed,
42407,NCDFI spotlite,saurabhr,,normal,minor,have not tried,,Observation,2022-05-12,,,,public,2022-05-12,Public messages are not getting displayed.,new,open,
42276,NCDFI pfm,ravinar,saurabhd,high,major,always,,Bug,2022-05-06,,,,public,2022-05-12,Trading session insert screen - Trading session is not getting defined if error message displayed as 'Overlapping session exist',new,open,
42298,NCDFI pfm,saurabhr,,normal,minor,have not tried,,Bug,2022-05-06,,,,public,2022-05-11,View Organization :- Export all data as csv is not working.,deployed_in_uat,open,
42277,NCDFI pfm,ravinar,krishnas,high,major,always,,Bug,2022-05-06,,,,public,2022-05-11,Trading session insert screen - Trading session for multiple days is not getting defined if trading session for 1 day is defined,deployed_in_uat,open,
42297,NCDFI pfm,ravinar,krishnas,normal,minor,always,,Bug,2022-05-06,,,,public,2022-05-11,View Trading session master screen - In export all data as csv only first page data getting displayed.,deployed_in_uat,open,
42295,NCDFI pfm,saurabhr,,normal,minor,have not tried,,Observation,2022-05-06,,,,public,2022-05-11,View Trading Session Master :- Delete button is not working.,deployed_in_uat,open,
42296,NCDFI pfm,saurabhr,,normal,minor,have not tried,,Observation,2022-05-06,,,,public,2022-05-11,View Trading Session Master :- User is able to define new trading session by clicking on save.,deployed_in_uat,open,
42269,NCDFI pfm,saurabhr,saurabhd,normal,minor,have not tried,,Observation,2022-05-05,,,,public,2022-05-11,View Trading Session Master Export : - Session start date & end date is displayed as '1.65406E+12',deployed_in_uat,open,
40454,NCDFI posttrade,sayleel,sumitp,high,major,always,,New Change Request,2022-03-17,,,,public,2022-05-09,SD Payout to be released in ‘Cash Margin Limit’ instead of 'Available Balance',deployed_in_uat,fixed,
42279,NCDFI pfm,ravinar,krishnas,high,major,always,,Bug,2022-05-06,,,,public,2022-05-06,View trading session master screen - Delete button is not working if user try to delete multiple ME's.,assigned,open,
41569,NCDFI pfm,saurabhr,,normal,major,have not tried,,Bug,2022-04-11,,,,public,2022-05-05,"Admin Document Upload :- After clicking on upload file, it only displays red strip .",closed,open,
41567,NCDFI pfm,saurabhr,,normal,major,have not tried,,Bug,2022-04-11,,,,public,2022-05-05,"Self Registration :- Document Upload :- After clicking on upload file, it only displays red strip .So,unable to do self registra",closed,open,
40490,NCDFI pfm,shwetam,shradha,high,major,always,,Bug,2022-03-19,,,,public,2022-05-05,trading session insert: unable to add new trading session.,closed,open,
40491,NCDFI pfm,shwetam,shradha,high,major,always,,Bug,2022-03-19,,,,public,2022-05-05,trading session insert: blank popup is received after clicking on save button,closed,open,
42244,NCDFI spotlite,saurabhr,,normal,minor,have not tried,,Observation,2022-05-04,,,,public,2022-05-04,"Bilateral Market :- While selecting date for delivery date parameter ,date selection calendar is not displayed properly.",new,open,
42242,NCDFI spotlite,saurabhr,,normal,minor,have not tried,,Bug,2022-05-04,,,,public,2022-05-04,"Seller Initiated Market :- While offer creation, delivery details dropdown is not getting displayed .",new,open,
42241,NCDFI spotlite,saurabhr,,normal,minor,have not tried,,Observation,2022-05-04,,,,public,2022-05-04,Seller Initiated Market :- Market Watch Summary :- It shows no image found although user has uploaded images for the offer.Offer,new,open,
42175,NCDFI spotlite,saurabhr,,normal,major,have not tried,,Bug,2022-05-02,,,,public,2022-05-02,Confirmation Session :- Time left is displayed as NA on quick auction floor and quick auction floor all.TAC205916-000000232861,new,open,
42104,NCDFI hostend,ravinar,gaurava,high,major,always,,Bug,2022-04-28,,,,public,2022-04-28,Yankee auction - Wrong Margin getting released even if margin is not blocked for first bid of bidder 1000537. Token id - 2804221,assigned,open,
42103,NCDFI hostend,ravinar,gaurava,high,major,always,,Bug,2022-04-28,,,,public,2022-04-28,Yankee auction- Extra margin getting released when bid knock off and bid rejection received at same time for same TM. Token I’d,assigned,open,
42088,NCDFI hostend,saurabhr,gaurava,normal,major,have not tried,,Bug,2022-04-28,,,,public,2022-04-28,"After placing bid, margin is not soft blocked for Unique No- TAC205916-000000232619 TM ID - 205946",assigned,open,
42086,NCDFI hostend,saurabhr,gaurava,normal,major,have not tried,,Bug,2022-04-28,,,,public,2022-04-28,"For the contract, margin slab was changed and contract was loaded.But, margin is getting soft blocked as per previous slab (cu",assigned,open,
42063,NCDFI hostend,saurabhr,gaurava,normal,major,have not tried,,Bug,2022-04-27,,,,public,2022-04-27,Auction Market :- Yankee Auction :- Extra margin is getting released when bid knockoff and rejection at same time. Same issue oc,deployed_in_uat,open,
41983,NCDFI spotlite,saurabhr,,normal,minor,have not tried,,Observation,2022-04-26,,,,public,2022-04-26,Admin login :- Margin Block Release Summary :- Screen is taking longer time to load & display data,new,open,
41638,NCDFI posttrade,sayleel,sumitp,high,major,always,,New Change Request,2022-04-13,,,,public,2022-04-13,Post-trade report modification,assigned,open,
41516,NCDFI spotlite,yasht,,normal,major,always,,Bug,2022-04-09,,,,public,2022-04-09,Session is getting expired continuously while placing seller initiated offer,new,open,
41501,NCDFI spotlite,yasht,,high,major,always,,Bug,2022-04-08,,,,public,2022-04-08,While placing an offer delivery details dropdown showing blank .,new,open,
41490,NCDFI hostend,saurabhr,,normal,major,have not tried,,Bug,2022-04-08,,,,public,2022-04-08,"Quick auction floor & quick auction floor all screen :- After clicking on submit all button ,user is getting log out.(showing yo",new,open,
41489,NCDFI hostend,saurabhr,,normal,major,have not tried,,Bug,2022-04-08,,,,public,2022-04-08,Auction remains in open -pending status.(for bulk auction testing ),new,open,
41422,NCDFI hostend,yasht,,normal,major,random,,Bug,2022-04-07,,,,public,2022-04-07,After trade buyer's margin was blocked as per defined margin and is getting displayed properly in margin block release book but,new,open,
41394,NCDFI pfm,shwetam,shradha,normal,major,always,,Observation,2022-04-07,,,,public,2022-04-07,view Trading Session Master: data in grid should be displayed as latest come first.,assigned,open,
41383,NCDFI pfm,Rudrac,ashwinir,normal,minor,always,,Bug,2022-04-06,,,,public,2022-04-06,error while registeration,assigned,open,
38617,NCDFI pfm,saurabhr,shradha,normal,minor,have not tried,,Observation,2022-01-20,,,,public,2022-03-25,"In case of self registration, registration approval SMS is not received .User :- MOCKSR3",feedback,open,
40797,NCDFI,shraddhak,,none,feature,N/A,,New Change Request,2022-03-24,,,,public,2022-03-24,PFM: Addition and deletion provision provided in Demand Supply Ratio.,new,open,
40790,NCDFI,shraddhak,,none,feature,N/A,,New Change Request,2022-03-24,,,,public,2022-03-24,Provision to postpone trading session from frontend,new,open,
40789,NCDFI,shraddhak,,none,feature,N/A,,New Change Request,2022-03-24,,,,public,2022-03-24,Provision to enter multiple trading sessions to be defined from frontend,new,open,
40697,NCDFI,shraddhak,,none,feature,N/A,,New Change Request,2022-03-23,,,,public,2022-03-23,"To hide 'My Allocated Qty' as per contract flag (cc_show_allocated_qty) in Auction Floor, Quick Auction Floor and Quick Auction",new,open,
40548,NCDFI pfm,shwetam,shradha,high,major,always,,Bug,2022-03-21,,,,public,2022-03-21,"if registered office state and GST state are kept different, while self reg approval not getting any error msg and user is also",assigned,open,
40438,NCDFI spotlite,manishaj,tejast,normal,major,have not tried,,Observation,2022-03-17,,,,public,2022-03-17,"On auction floor , time left is getting displayed in red even if time left is more than 3 minutes(if screen is idle for some tim",assigned,open,
40385,NCDFI pfm,pragatia,shradha,normal,minor,have not tried,,Observation,2022-03-16,,,,public,2022-03-16,Observation - View Contract - Column names are getting displayed with LB prefix.,assigned,open,
40384,NCDFI pfm,pragatia,shradha,normal,minor,always,,Observation,2022-03-16,,,,public,2022-03-16,Observation - Contract demand / supply ratio - All fields should be marked as mandatory,assigned,open,
40379,NCDFI pfm,pragatia,shradha,normal,minor,always,,Bug,2022-03-16,,,,public,2022-03-16,"While organisation registration, after creating CM, create TM , create client tabs are disabled and org details are getting remo",assigned,open,
40371,NCDFI pfm,shwetam,,high,major,always,,Bug,2022-03-16,,,,public,2022-03-16,Organisation self registration approval : if the 'is mock flag' is selected as YES . user is not getting approved even if all da,new,open,
40311,NCDFI spotlite,manishaj,apoorvan,high,major,have not tried,,Bug,2022-03-15,,,,public,2022-03-15,Auction floor and quick auction floor : If bid is placed for same price with different member at a same time then rank is gettin,assigned,open,
40065,NCDFI spotlite,manishaj,tejast,normal,minor,have not tried,,Bug,2022-03-10,,,,public,2022-03-14,Auction and quick auction floor : Allocated qty is getting displayed in market depth for that member,assigned,open,
40242,NCDFI spotlite,manishaj,dineshp,normal,major,have not tried,,Bug,2022-03-14,,,,public,2022-03-14,Seller initiated : If we submit a saved bid for an expired offer then it shows an error message 'Blocked margin validation faile,assigned,open,
40238,NCDFI spotlite,bhagyarathia,,normal,minor,always,,Observation,2022-03-14,,,,public,2022-03-14,NCDFI : seller initiated :if image is open and deselected then same image is not getting open again.,new,open,
40237,NCDFI spotlite,bhagyarathia,,normal,major,always,,Bug,2022-03-14,,,,public,2022-03-14,seller initiated : trade book export: date format is showing different for same column,new,open,
40227,NCDFI spotlite,shivdasc,,normal,minor,have not tried,,Observation,2022-03-14,,,,public,2022-03-14,Auction Market : if we redirect from auction floor to quick auction floor all then rank column is not getting displayed,new,open,
40199,NCDFI,shraddhak,,none,feature,N/A,,New Change Request,2022-03-12,,,,public,2022-03-12,2 new ME's for English & Yankee Bid price trades(Closed-Rank applicable),new,open,
40198,NCDFI,shraddhak,,none,feature,N/A,,New Change Request,2022-03-12,,,,public,2022-03-12,After matching with the L1 price the bidders have to submit price break up to the initiator through the system,new,open,
40181,NCDFI,shraddhak,,none,feature,N/A,,New Change Request,2022-03-11,,,,public,2022-03-11,Changes Required in Post Trade (Settlement Process),new,open,
40180,NCDFI,shraddhak,,none,feature,N/A,,New Change Request,2022-03-11,,,,public,2022-03-11,Removal of auction winner list menu from member login for all auctions except for admin login,new,open,
40173,NCDFI spotlite,manishaj,,high,major,have not tried,,Bug,2022-03-11,,,,public,2022-03-11,"Future watch : For hybrid auction, unable to modify order as bid logical session start time can not be less than provisional err",new,open,
40096,NCDFI spotlite,vinishak,tejast,normal,major,have not tried,,Bug,2022-03-10,,,,public,2022-03-10,Quick Auction Floor All : My allocated qty is displayed even if flag is set as ‘N’ in contract master. Unique No : TAC1000537-0,assigned,open,
40070,NCDFI spotlite,shivdasc,,normal,minor,have not tried,,Bug,2022-03-10,,,,public,2022-03-10,Auction Market : Yankee Rank ME best bid price and market depth is visible.,new,open,
40053,NCDFI spotlite,shivdasc,,normal,minor,have not tried,,Observation,2022-03-09,,,,public,2022-03-09,Auction Market : Quick auction floor : rank is not displayed on quick auction floor,new,open,
40032,NCDFI spotlite,shivdasc,,normal,minor,have not tried,,Bug,2022-03-09,,,,public,2022-03-09,Auction market : Order Entry : unable to place order as while order entry getting error as pricing date not found. U204613,new,open,
39959,NCDFI pfm,shivdasc,,normal,minor,have not tried,,Observation,2022-03-05,,,,public,2022-03-05,unable to approve self registration user as not getting submit button on approve user registration page,new,open,
39958,NCDFI pfm,shivdasc,,normal,minor,have not tried,,Observation,2022-03-05,,,,public,2022-03-05,"organization registration : while save and submit the registration getting error popup as ""TACCLCMTM""",new,open,
39599,NCDFI pfm,shivdasc,,normal,minor,have not tried,,Observation,2022-02-23,,,,public,2022-03-04,Create Trading Account : Bank details Fields are disable.,closed,open,
39602,NCDFI pfm,shivdasc,,normal,minor,have not tried,,Observation,2022-02-23,,,,public,2022-03-04,organization registration : unable to complete registration as trading account is not getting save.,closed,open,
39905,NCDFI pfm,shivdasc,,normal,minor,have not tried,,Bug,2022-03-04,,,,public,2022-03-04,Organisation self registration approval : registration is not getting approve. User id : 205975,new,open,
38613,NCDFI pfm,saurabhr,,normal,minor,have not tried,,Observation,2022-01-20,,,,public,2022-03-04,View Organization :- Data should be displayed according to the sequence of created date & time..,closed,open,
39798,NCDFI pfm,shivdasc,,normal,minor,have not tried,,Observation,2022-03-02,,,,public,2022-03-02,Create CM : after save if we click on home then return on create organization screen and and form gets clear and create tm butto,new,open,
39666,NCDFI pfm,shivdasc,,normal,minor,have not tried,,Observation,2022-02-25,,,,public,2022-02-25,Create client : Registration is not getting save. Client Id : 205967,new,open,
39665,NCDFI pfm,shivdasc,,normal,minor,have not tried,,Observation,2022-02-25,,,,public,2022-02-25,Create Client : If we blank any mandatory fields then also not getting error popup after save.,new,open,
38612,NCDFI pfm,saurabhr,,normal,minor,have not tried,,Observation,2022-01-20,,,,public,2022-02-24,Organization Registration :- Create Client :- Authorised Signatory Details :- Address text field is overlapping with 'Tel' labe,deployed_in_uat,open,
38616,NCDFI pfm,saurabhr,,normal,major,have not tried,,Bug,2022-01-20,,,,public,2022-02-24,"Self reg approval :- Alternate email & mobile no is non-mandatory in member profile,but same are mandatory in approval screen.",deployed_in_uat,open,
38615,NCDFI pfm,saurabhr,,normal,minor,have not tried,,Observation,2022-01-20,,,,public,2022-02-24,Organization self reg approval :- 'Date of Establishment ' label is not getting displayed.,deployed_in_uat,open,
